"company
",name,model,base_company,power
msi,GTX 970 GAMING 4G,gtx 970,nvidia,145
gigabyte,GV-N1070G1 GAMING-8GD,gtx 1070,nvidia,150
msi,R9 390 GAMING 8G,r9 390,amd,275
asus,STRIX-GTX970-DC2OC-4GD5,gtx 970,nvidia,145
msi,GTX 1070 GAMING 8G,gtx 1070,nvidia,150
msi,GTX 970 4GD5T OC,gtx 970,nvidia,145
msi,GTX 970 GAMING 100ME,gtx 970,nvidia,145
msi,GTX 1070 GAMING X 8G,gtx 1070,nvidia,150
asus,TURBO-GTX1060-6G,gtx 1060,nvidia,120
msi,VDGTX9704GD5TOC,gtx 970,nvidia,145
msi,GEFORCE GTX 1080 Founders Edition,gtx 1080,nvidia,180
asus,TURBO-GTX1070-8G,gtx 1070,nvidia,150
asus,DUAL-RX480-O4G,rx 480,amd,150
gigabyte,GV-N1060XTREME-6GD,gtx 1060,nvidia,120
msi,R9 380 4GD5T OC,r9 380,amd,190
msi,GeForce GTX 1070 Quick Silver 8G OC,gtx 1070,nvidia,150
xfx,RX-460P4DFG5,"rx 460
",amd,75
asus,STRIX-R7370-DC2OC-4GD5-GAMING,"r7 370
",amd,110
msi,Radeon RX 470 GAMING X 8G,rx 470,amd,120
msi,GTX 1050 Ti GAMING X 4G,gtx 1050ti,nvidia,75
xfx,RX-470P437BM,rx 470,amd,120
asus,TURBO-GTX1080-8G,gtx 1080,nvidia,180
asus,STRIX-RX470-O4G-GAMING,"rx 470
",amd,120
powerColor,AXRX 480 8GBD5-3DHV2/OC,rx 480,amd,150
asus,STRIX-GTX950-DC2OC-2GD5-GAMING,gtx 950,nvidia,80
msi,RX 480 ARMOR 4G OC,rx 480,amd,150
asus,STRIX-GTX1060-6G-GAMING,gtx 1060,nvidia,120
msi,GTX 1080 ARMOR 8G OC,gtx 1080,nvidia,180
msi,GTX 1070 ARMOR 8G OC,gtx 1070,nvidia,150
