company,"model
",capacity,ddr
gskill,F4-3000C15D-16GVR,2x8,4
kingston,HX429C17FW2/8,1x16,4
gskill,F4-3200C16D-16GTZR,2x8,4
gskill,F4-3200C16D-32GVKB,2x16,4
corsair,CMW32GX4M2C3200C,4x8,4
corsair,CMK16GX4M2B3000C15,2x8,4
ballistix,BLS2K4G4D240FSB,2x4,4
corsair,CMR16GX4M2C3200C16W,2x8,4
patriot,PV416G320C6K,2x8,4
ballistix,BLT2K8G4D30BET4K,2x8,4
gskill,F4-3200C16D-16GSX,2x8,4
crucial,CT12864AA667,1x1,2
corsair,CML16GX3M2A1600C10,2x8,3
corsair,CMZ32GX3M4X1600C10,"4x8
",3
corsair,CMV4GX3M2A1333C9,2x2,3
gskill,F3-2133C9D-16GTX,2x8,3
gskill,F3-1866C10Q-32GAB,"4x8
",3
gskill,F3-8500CL7Q-16GBRL,4x4,3
corsair,CMZ16GX3M2A1600C10R,2x8,3
patriot,PSD1G333,1x1,1
ballistix,BLT8G3D1608ET3LX0,1x8,3
adata,ADQVE1A16N,1x1,2
corsair,CMX16GX3M2A1600C11,1x16,3
gskill,F3-12800CL9S-4GBXL,1x4,3
gskill,F3-17000CL11Q-16GBXL,4x4,3
ballistix,BLT2KIT4G3D1869DT1TX0,2x4,3
gskill,F3-10666CL9D-4GBXL,2x2,3
patriot,PSD22G6672,1x2,2
gskill,F3-2400C10Q-32GTX,4x8,3
gskill,F3-10666CL7Q-16GBXH,4x4,3
crucial,CT51264BA1339,1x4,3
transcend,JM800QLU-2G,1x2,2
gskill,F3-10666CL9S-2GBNS,1x2,3
